Bus Number,Direction,Stop Order,Stop Name,Arrival Time,Departure Time,Frequency,Day Type,Fare,Connections
21,Inbound,1,"Film Theatre, Shelton",10:28,10:30,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",10:43,10:45,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",10:58,11:00,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",11:13,11:15,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,11:28,11:30,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",11:43,11:45,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,11:58,12:00,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",10:43,10:45,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",10:58,11:00,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",11:13,11:15,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",11:28,11:30,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,11:43,11:45,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",11:58,12:00,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,12:13,12:15,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",10:58,11:00,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",11:13,11:15,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",11:28,11:30,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",11:43,11:45,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,11:58,12:00,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",12:13,12:15,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,12:28,12:30,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",11:13,11:15,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",11:28,11:30,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",11:43,11:45,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",11:58,12:00,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,12:13,12:15,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",12:28,12:30,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,12:43,12:45,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",11:28,11:30,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",11:43,11:45,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",11:58,12:00,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",12:13,12:15,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,12:28,12:30,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",12:43,12:45,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,12:58,13:00,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",11:43,11:45,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",11:58,12:00,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",12:13,12:15,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",12:28,12:30,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,12:43,12:45,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",12:58,13:00,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,13:13,13:15,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",11:58,12:00,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",12:13,12:15,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",12:28,12:30,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",12:43,12:45,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,12:58,13:00,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",13:13,13:15,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,13:28,13:30,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",12:13,12:15,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",12:28,12:30,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",12:43,12:45,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",12:58,13:00,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,13:13,13:15,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",13:28,13:30,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,13:43,13:45,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",12:28,12:30,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",12:43,12:45,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",12:58,13:00,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",13:13,13:15,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,13:28,13:30,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",13:43,13:45,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,13:58,14:00,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",12:43,12:45,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",12:58,13:00,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",13:13,13:15,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",13:28,13:30,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,13:43,13:45,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",13:58,14:00,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,14:13,14:15,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",12:58,13:00,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",13:13,13:15,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",13:28,13:30,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",13:43,13:45,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,13:58,14:00,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",14:13,14:15,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,14:28,14:30,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",13:13,13:15,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",13:28,13:30,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",13:43,13:45,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",13:58,14:00,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,14:13,14:15,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",14:28,14:30,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,14:43,14:45,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",13:28,13:30,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",13:43,13:45,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",13:58,14:00,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",14:13,14:15,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,14:28,14:30,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",14:43,14:45,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,14:58,15:00,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",13:43,13:45,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",13:58,14:00,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",14:13,14:15,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",14:28,14:30,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,14:43,14:45,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",14:58,15:00,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,15:13,15:15,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",13:58,14:00,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",14:13,14:15,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",14:28,14:30,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",14:43,14:45,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,14:58,15:00,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",15:13,15:15,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,15:28,15:30,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",14:13,14:15,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",14:28,14:30,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",14:43,14:45,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",14:58,15:00,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,15:13,15:15,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",15:28,15:30,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,15:43,15:45,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",14:28,14:30,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",14:43,14:45,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",14:58,15:00,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",15:13,15:15,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,15:28,15:30,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",15:43,15:45,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,15:58,16:00,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",14:43,14:45,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",14:58,15:00,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",15:13,15:15,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",15:28,15:30,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,15:43,15:45,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",15:58,16:00,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,16:13,16:15,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",14:58,15:00,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",15:13,15:15,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",15:28,15:30,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",15:43,15:45,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,15:58,16:00,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",16:13,16:15,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,16:28,16:30,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",15:13,15:15,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",15:28,15:30,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",15:43,15:45,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",15:58,16:00,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,16:13,16:15,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",16:28,16:30,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,16:43,16:45,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",15:28,15:30,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",15:43,15:45,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",15:58,16:00,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",16:13,16:15,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,16:28,16:30,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",16:43,16:45,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,16:58,17:00,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",15:43,15:45,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",15:58,16:00,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",16:13,16:15,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",16:28,16:30,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,16:43,16:45,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",16:58,17:00,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,17:13,17:15,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",15:58,16:00,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",16:13,16:15,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",16:28,16:30,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",16:43,16:45,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,16:58,17:00,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",17:13,17:15,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,17:28,17:30,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",16:13,16:15,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",16:28,16:30,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",16:43,16:45,Every 20m,Weekday,£1.50,None
